MILITARES PRESTANDO TAREFA POR TEMPO CERTO - PTTC
Nm Grupo
"Nm Grupo-Ano;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022"
OFICIAIS GENERAIS
"Almirante-de-Esquadra, General-de-Exército e Tenente-Brigadeiro-do-Ar ;4;4;6;6;5;5;5;5;4;3;0;0;0;0"
"Vice-Almirante, General-de-Divisão e Major-Brigadeiro;5;5;4;3;4;5;7;9;10;9;3;4;4;1"
"Contra-Almirante,General-de-Brigada e Brigadeiro;147;147;169;169;161;164;154;162;171;154;26;27;27;19"
OFICIAIS SUPERIORES
"Capitão-de-Mar-e-Guerra e Coronel;120;120;174;202;238;277;340;385;405;413;428;461;453;452"
"Capitão-de-Fragata e Tenente-Coronel;67;67;102;111;128;138;145;154;163;155;166;164;140;130"
"Capitão-de-Corveta e Major;97;97;105;121;115;122;121;128;123;116;72;71;62;62"
OFICIAIS INTERMEDIÁRIOS
"Capitão-Tenente e Capitão;159;159;215;245;291;324;367;434;488;504;490;521;489;488"
OFICIAIS SUBALTERNOS
"Primeiro-Tenente;8;8;11;25;37;40;43;37;50;63;30;56;52;44"
"Segundo-Tenente;233;233;309;349;330;328;304;289;272;253;39;7;8;8"
PRAÇAS GRADUADAS
"Suboficial e Subtenente;312;312;742;1084;1197;1318;1360;1400;1566;1628;1553;1698;1448;1375"
"Primeiro-Sargento;18;18;39;64;78;93;103;105;112;122;110;119;98;87"
"Segundo-Sargento;74;74;59;87;90;100;92;92;93;94;77;57;45;35"
"Terceiro-Sargento;450;450;810;1081;829;817;813;815;854;871;814;705;560;503"
