QUANTITATIVO DE MILITARES NA RESERVA REMUNERADA
Nm Grupo
"Nm Grupo-Ano;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022"
ALMIRANTE/MARECHAL/MARECHAL DO AR
"Almirante/Marechal/Marechal do Ar;65;67;67;69;71;69;69;71;73;71;67;57;52;51"
OFICIAIS GENERAIS
"Almirante-de-Esquadra, General-de-Exército e Tenente-Brigadeiro-do-Ar ;121;122;124;131;131;130;130;126;121;123;119;113;108;107"
"Vice-Almirante, General-de-Divisão e Major-Brigadeiro;360;357;366;361;360;370;361;362;365;365;369;330;292;289"
"Contra-Almirante,General-de-Brigada e Brigadeiro;1594;1585;1565;1548;1515;1494;1480;1466;1439;1420;1418;1367;1321;1311"
OFICIAIS SUPERIORES
"Capitão-de-Mar-e-Guerra e Coronel;1438;1501;1614;1763;1856;1980;2100;2206;2310;2388;2880;2542;2596;2631"
"Capitão-de-Fragata e Tenente-Coronel;1426;1473;1511;1578;1607;1652;1669;1709;1727;1751;1898;1722;1701;1696"
"Capitão-de-Corveta e Major;1138;1134;1143;1152;1153;1159;1155;1138;1172;1179;1245;1169;1152;1143"
OFICIAIS INTERMEDIÁRIOS
"Capitão-Tenente e Capitão;1016;1057;1110;1205;1269;1395;1537;1686;1811;1932;2508;2048;2168;2203"
OFICIAIS SUBALTERNOS
"Primeiro-Tenente;1516;1524;1575;1672;1744;1747;1784;1729;1777;1790;1888;1613;1436;1400"
"Segundo-Tenente;8752;10546;10394;10133;9835;9569;9296;9036;8808;8513;7895;7123;6724;6632"
PRAÇAS ESPECIAIS
"Guarda-Marinha e Aspirante-a-Oficial;7;8;8;7;7;7;7;6;6;6;5;5;6;6"
"Aspirante da EN, Cadete da AMAN, Cadete da AFA e Aluno do Instituto Militar de Engenharia(Demais Anos);0;0;0;1;0;0;0;0;0;0;0;1;0;0"
"Aluno do Colégio Naval, Aluno da Escola Preparatória de Cadetes do Exército e da Aeronáutica (Último Ano);1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"Aluno Da Escola de Formação de Sargentos;0;1;0;0;0;0;0;0;0;1;0;0;1;1"
PRAÇAS GRADUADAS
"Suboficial e Subtenente;4521;6129;6864;7885;8366;8828;9259;10072;10762;11352;13702;12794;13352;13508"
"Primeiro-Sargento;809;918;970;1028;1050;1075;1064;1114;1115;1125;1246;1143;1131;1126"
"Segundo-Sargento;1706;1388;1361;1326;1281;1217;1219;1191;1125;1089;1143;1043;979;955"
"Terceiro-Sargento;6799;5026;5360;5693;5813;5921;6104;6359;6574;6664;7436;6620;6579;6548"
"Cabo;479;498;498;494;491;462;455;438;419;401;392;387;356;354"
DEMAIS PRAÇAS
"Taifeiro-Mor;233;49;22;10;10;10;10;10;9;9;8;8;8;7"
"Taifeiro de 1ª Classe;140;34;12;10;14;13;15;15;13;12;12;11;9;9"
"Taifeiro de 2ª Classe;68;28;9;9;13;13;13;12;10;10;10;10;10;10"
"Marinheiro, Soldado Fuzileiro Naval, Soldado de 1ª Classe(especializados, cursados e engajados), Soldado-Clarim ou Corneteiro 1ª Classe e Soldado Pára-Quedista(engajado);76;79;80;89;89;217;219;218;109;111;111;120;118"
"Marinheiro, Soldado Fuzileiro Naval, Soldado de 1ª Classe (não especializado) e Soldado-Clarim ou Corneteiro de 2ª Classe, Soldado do Exército e Soldado de 2ª Classe(engajado);419;146;139;134;131;0;0;0;443;448;443;436;431;429"
"Marinheiro-Recruta , Soldado-Recruta, Recruta, Soldado, Soldado de 2ª Classe (não engajado) e Soldado-Clarim ou Corneteiro de 3ª Classe;35;303;311;325;336;344;346;358;37;34;33;34;32;32"
